,Image.ID,area_necrosis,area_total_cross_section,convex_hull_area_necrosis,convex_hull_area_total_cross_section,solidity_necrosis,solidity_total_cross_section,perimeter_necrosis,perimeter_total_cross_section,width_necrosis,width_total_cross_section,height_necrosis,height_total_cross_section,longest_path_necrosis,longest_path_total_cross_section,convex_hull_vertices_necrosis,convex_hull_vertices_total_cross_section,ellipse_major_axis_necrosis,ellipse_major_axis_total_cross_section,ellipse_minor_axis_necrosis,ellipse_minor_axis_total_cross_section,ellipse_angle_necrosis,ellipse_angle_total_cross_section,ellipse_eccentricity_necrosis,ellipse_eccentricity_total_cross_section,percent_necrosis,necrotic_area_fraction,necrotic_width_fraction
1,2339223_Root1_image1_1_2021-11-13-04-34-31,NA,154680,NA,156549.5,NA,0.98805809,NA,1532.881373,NA,450,NA,446,NA,3215,NA,59,NA,452.1757813,NA,436.2790527,NA,104.5187607,NA,0.262823539,NA,NA,NA
2,2339223_Root1_image2_1_2021-11-13-04-35-05,NA,201733,NA,203645.5,NA,0.99060868,NA,1764.420477,NA,512,NA,507,NA,3692,NA,70,NA,511.1959839,NA,501.1183472,NA,64.05381775,NA,0.197583015,NA,NA,NA
3,2339223_Root1_image3_1_2021-11-13-04-35-32,NA,257422,NA,277022.5,NA,0.929245819,NA,2598.694643,NA,600,NA,559,NA,5080,NA,41,NA,652.9700317,NA,527.3468628,NA,134.1597748,NA,0.589713316,NA,NA,NA
4,2339223_Root2_image1_1_2021-11-13-04-36-08,NA,148969,NA,150968,NA,0.986758783,NA,1523.50879,NA,438,NA,452,NA,3355,NA,57,NA,459.0914001,NA,413.8905945,NA,145.382431,NA,0.432689716,NA,NA,NA
5,2339223_Root2_image2_1_2021-11-13-04-36-29,NA,144466,NA,184009,NA,0.785102903,NA,2272.829639,NA,502,NA,571,NA,4861,NA,37,NA,662.6735229,NA,340.1191101,NA,140.4910736,NA,0.858237413,NA,NA,NA
6,2339223_Root2_image3_1_2021-11-13-04-36-47,NA,182665,NA,184948,NA,0.98765599,NA,1671.834691,NA,515,NA,465,NA,3605,NA,54,NA,517.9767456,NA,449.7807312,NA,94.60298157,NA,0.495966681,NA,NA,NA
7,2339223_Root4_image2_1_2021-11-13-04-38-24,NA,198193,NA,231730.5,NA,0.855273691,NA,2869.851936,NA,428,NA,731,NA,5319,NA,25,NA,712.8551025,NA,407.1983643,NA,7.481432915,NA,0.820795755,NA,NA,NA
8,2339224_Root1_image1_1_2021-11-13-04-39-16,NA,138402,NA,146599.5,NA,0.944082347,NA,1651.266149,NA,504,NA,402,NA,3530,NA,44,NA,465.5683899,NA,391.0005493,NA,96.47580719,NA,0.542842021,NA,NA,NA
9,2339224_Root1_image2_1_2021-11-13-04-39-36,NA,142366,NA,178201,NA,0.798906852,NA,2739.422565,NA,481,NA,465,NA,4066,NA,32,NA,555.4018555,NA,380.1259766,NA,142.7100372,NA,0.72909162,NA,NA,NA
10,2339224_Root2_image1_1_2021-11-13-04-40-32,1640,141931,2214,170654.5,0.740740741,0.831686243,230.2253957,2479.248904,63,458,52,471,437,3838,12,24,58.28076553,526.7387085,45.08908463,388.256134,69.39818573,125.5529861,0.633609623,0.675789832,1.155491048,0.015599129,0.110644547
11,2339225_Root1_image2_1_2021-11-13-04-42-09,NA,184662,NA,185760.5,NA,0.994086472,NA,1653.266149,NA,457,NA,507,NA,3560,NA,66,NA,518.4639282,NA,451.6239624,NA,19.69517899,NA,0.491139773,NA,NA,NA
12,2339225_Root2_image1_1_2021-11-13-04-42-54,NA,141203,NA,145696.5,NA,0.96915849,NA,1538.354462,NA,446,NA,431,NA,3121,NA,49,NA,438.8999023,NA,411.2077637,NA,42.10046387,NA,0.349582538,NA,NA,NA
13,2339226_Root1_image1_1_2021-11-13-04-45-24,NA,163911,NA,166725.5,NA,0.983118959,NA,1624.496597,NA,458,NA,453,NA,3290,NA,60,NA,463.1531372,NA,449.7645569,NA,121.9588699,NA,0.238703324,NA,NA,NA
14,2339226_Root1_image2_1_2021-11-13-04-45-46,NA,170092,NA,177709.5,NA,0.9571351,NA,1726.780868,NA,490,NA,451,NA,3584,NA,63,NA,480.9847107,NA,458.6297913,NA,70.06556702,NA,0.301321512,NA,NA,NA
15,2339226_Root1_image3_1_2021-11-13-04-45-58,NA,136521,NA,162575.5,NA,0.839739075,NA,2184.319972,NA,516,NA,423,NA,3847,NA,36,NA,489.4873657,NA,425.6074524,NA,73.47134399,NA,0.493939458,NA,NA,NA
16,2339227_Root1_image1_1_2021-11-13-04-46-31,NA,135292,NA,167504.5,NA,0.807691734,NA,2209.727045,NA,453,NA,572,NA,4886,NA,20,NA,615.4590454,NA,343.3311157,NA,41.80989456,NA,0.829944754,NA,NA,NA
17,2339227_Root1_image2_1_2021-11-13-04-47-06,NA,136005,NA,174797,NA,0.778073994,NA,2152.645873,NA,490,NA,519,NA,4356,NA,43,NA,592.6141357,NA,365.4866333,NA,132.4990845,NA,0.787169848,NA,NA,NA
18,2339227_Root1_image3_1_2021-11-13-04-47-26,NA,146177,NA,149505.5,NA,0.977736605,NA,1588.295587,NA,429,NA,437,NA,3174,NA,63,NA,441.4103088,NA,423.0003662,NA,156.6273499,NA,0.28578788,NA,NA,NA
19,2339228_Root1_image1_1_2021-11-13-04-52-09,NA,164741,NA,169786,NA,0.970286125,NA,1724.454967,NA,491,NA,453,NA,3507,NA,46,NA,487.8328552,NA,430.8835144,NA,116.8681564,NA,0.468882508,NA,NA,NA
20,2339228_Root1_image3_1_2021-11-13-04-52-35,NA,159859,NA,163372,NA,0.978496927,NA,1614.538228,NA,437,NA,479,NA,3343,NA,51,NA,477.0718994,NA,426.7077637,NA,32.94742584,NA,0.447206532,NA,NA,NA
21,2339228_Root2_image1_1_2021-11-13-04-53-08,NA,169587,NA,176856.5,NA,0.958896054,NA,1818.479352,NA,504,NA,459,NA,3694,NA,45,NA,480.6207275,NA,453.7828674,NA,105.5827637,NA,0.329487313,NA,NA,NA
22,2339228_Root2_image2_1_2021-11-13-04-53-19,NA,150608,NA,152973,NA,0.984539755,NA,1527.7098,NA,445,NA,445,NA,3090,NA,60,NA,456.9362793,NA,419.4505615,NA,45.36046982,NA,0.396666202,NA,NA,NA
23,2339228_Root2_image3_1_2021-11-13-04-53-37,NA,153832,NA,155435,NA,0.989687007,NA,1540.052946,NA,476,NA,414,NA,3325,NA,59,NA,470.9922485,NA,417.1742554,NA,86.50069427,NA,0.464191501,NA,NA,NA
24,2339229_Root1_image1_1_2021-11-13-04-54-11,NA,174458,NA,177863.5,NA,0.980853295,NA,1653.851936,NA,488,NA,458,NA,3411,NA,57,NA,498.2796326,NA,447.6683655,NA,113.9535217,NA,0.439120893,NA,NA,NA
