,Image.ID,area_necrosis,area_total_cross_section,convex_hull_area_necrosis,convex_hull_area_total_cross_section,solidity_necrosis,solidity_total_cross_section,perimeter_necrosis,perimeter_total_cross_section,width_necrosis,width_total_cross_section,height_necrosis,height_total_cross_section,longest_path_necrosis,longest_path_total_cross_section,convex_hull_vertices_necrosis,convex_hull_vertices_total_cross_section,ellipse_major_axis_necrosis,ellipse_major_axis_total_cross_section,ellipse_minor_axis_necrosis,ellipse_minor_axis_total_cross_section,ellipse_angle_necrosis,ellipse_angle_total_cross_section,ellipse_eccentricity_necrosis,ellipse_eccentricity_total_cross_section,percent_necrosis,necrotic_area_fraction,necrotic_width_fraction
69,C2_NaCRRI_CET_GWAS_2019_118_10_Root5_image3_1_2020-10-14-10-32-29,NA,286802,NA,290252.5,NA,0.988112075,NA,2084.510878,NA,596,NA,615,NA,4458,NA,53,NA,618.3446655,NA,589.2786865,NA,17.18373299,NA,0.302989522,NA,NA,NA
70,C2_NaCRRI_CET_GWAS_2019_118_3_Root1_image1_1_2020-10-14-09-45-48,NA,2531094,NA,2554812,NA,0.990716342,NA,6377.456514,NA,1774,NA,1932,NA,13600,NA,99,NA,2037.46936,NA,1587.866821,NA,38.32621384,NA,0.626610162,NA,NA,NA
71,C2_NaCRRI_CET_GWAS_2019_118_3_Root1_image2_1_2020-10-14-09-46-06,18042,2689521,193963.5,2754341,0.093017501,0.97646624,3655.191755,7455.706295,989,1903,383,1918,6655,15141,19,69,907.2443237,2122.235596,338.3251648,1606.020508,73.87288666,46.4807663,0.927865444,0.653694184,0.670825772,0.072118232,0.427494631
72,C2_NaCRRI_CET_GWAS_2019_118_3_Root2_image1_1_2020-10-14-09-47-02,3034,2044376,3544,2075891.5,0.856094808,0.98481833,261.3969686,5822.613806,63,1789,73,1495,524,12419,13,88,82.49101257,1774.992554,55.81709671,1470.429077,155.8084412,91.84131622,0.736309792,0.560115948,0.148407142,0.001733536,0.046474005
73,C2_NaCRRI_CET_GWAS_2019_118_3_Root2_image2_1_2020-10-14-09-47-16,2171,1850197,4060,1913848.5,0.534729064,0.96674162,334.0660154,6544.731556,123,1426,55,1698,851,12831,13,78,125.5860138,1713.992798,52.38600159,1365.860352,88.95080566,152.8707428,0.908845707,0.604127024,0.117338856,0.002194361,0.073271028
74,C2_NaCRRI_CET_GWAS_2019_118_3_Root2_image3_1_2020-10-14-09-47-32,NA,1224556,NA,1252769.5,NA,0.977479097,NA,4486.183224,NA,1292,NA,1263,NA,9038,NA,64,NA,1301.828979,NA,1201.059326,NA,74.3789978,NA,0.38577287,NA,NA,NA
75,C2_NaCRRI_CET_GWAS_2019_118_3_Root3_image1_1_2020-10-14-09-47-50,33799,2020969,570559,2118660.5,0.059238396,0.95388997,8437.998156,7368.101175,1457,1769,666,1550,9505,12317,23,70,1285.94458,1762.151611,563.8272095,1462.671997,89.50786591,102.2907257,0.898753759,0.557690624,1.672415559,0.282319521,0.729758195
76,C2_NaCRRI_CET_GWAS_2019_118_3_Root3_image2_1_2020-10-14-09-48-03,11212,2509238,127851,2532789.5,0.087695833,0.990701359,2557.933453,6243.071738,289,1777,873,1810,5957,12671,19,107,1425.976685,1835.621826,832.2369385,1743.379028,126.9313507,30.98603249,0.812022659,0.313014115,0.446828878,0.050952122,0.776835764
77,C2_NaCRRI_CET_GWAS_2019_118_3_Root3_image3_1_2020-10-14-09-48-13,7550,2118842,79300.5,2162591,0.09520747,0.9797701,1973.605187,6060.856447,165,1595,626,1779,4382,12314,18,75,823.0874634,1750.278931,526.9144287,1542.874878,139.6003418,5.158191681,0.76823477,0.472179754,0.356326711,0.037426339,0.470260739
78,C2_NaCRRI_CET_GWAS_2019_118_5_Root1_image1_1_2020-10-14-09-48-45,18839,1401495,40227.5,1414322.5,0.468311478,0.990930286,1834.327238,4666.384235,431,1367,167,1279,2891,9743,23,74,413.8244324,1378.925171,109.1691208,1292.281494,102.9835663,105.4174118,0.964575922,0.348884345,1.344207436,0.028703278,0.300106519
