,Image.ID,area_necrosis,area_total_cross_section,convex_hull_area_necrosis,convex_hull_area_total_cross_section,solidity_necrosis,solidity_total_cross_section,perimeter_necrosis,perimeter_total_cross_section,width_necrosis,width_total_cross_section,height_necrosis,height_total_cross_section,longest_path_necrosis,longest_path_total_cross_section,convex_hull_vertices_necrosis,convex_hull_vertices_total_cross_section,ellipse_major_axis_necrosis,ellipse_major_axis_total_cross_section,ellipse_minor_axis_necrosis,ellipse_minor_axis_total_cross_section,ellipse_angle_necrosis,ellipse_angle_total_cross_section,ellipse_eccentricity_necrosis,ellipse_eccentricity_total_cross_section,percent_necrosis,necrotic_area_fraction,necrotic_width_fraction
15,C2_Serere_GWAS_CET_2019_100_1_Root5_image3_1_2020-11-14-08-28-05,26063,800072,43382.5,818421.5,0.600772201,0.977579401,1753.26045,3686.036913,190,965,327,1108,2159,7993,22,57,291.7605591,1083.805176,166.1073456,944.0516357,176.8709869,163.4480286,0.822110733,0.491189225,3.257581818,0.054223245,0.26920019
16,C2_Serere_GWAS_CET_2019_100_2_Root1_image1_1_2020-11-14-08-28-24,7783,1087228,24263.5,1150246.5,0.320769881,0.945213048,1000.375285,4860.200469,323,1254,130,1150,2226,10246,20,58,300.2982788,1344.319214,127.7790146,1063.911499,101.127327,52.46567917,0.904955141,0.611282015,0.715857208,0.022316846,0.223383164
17,C2_Serere_GWAS_CET_2019_100_2_Root1_image2_1_2020-11-14-08-28-37,10647,781111,80421,821577,0.132390793,0.950745943,2423.040734,4271.607542,709,1109,388,1000,5516,7639,28,57,706.2091675,1051.439453,316.2245483,951.6904907,63.96539688,118.1036911,0.894145036,0.425132676,1.363058515,0.102957198,0.671659376
18,C2_Serere_GWAS_CET_2019_100_2_Root1_image3_1_2020-11-14-08-28-48,30829,610808,310973,619002,0.099137224,0.986762563,5184.772443,3080.397304,700,907,627,898,5154,6490,39,69,709.3158569,895.2184448,684.80896,871.5769653,70.56255341,38.85463333,0.260588546,0.228297647,5.04724889,0.509117431,0.792338296
19,C2_Serere_GWAS_CET_2019_100_2_Root2_image1_1_2020-11-14-08-29-03,19124,852995,492383.5,892642.5,0.038839644,0.955584122,4585.392761,4402.144558,978,1108,894,1053,5542,7464,22,63,932.4589844,1147.464355,904.5757446,952.0702515,23.34140396,58.38991547,0.242717205,0.558184847,2.241982661,0.577240781,0.812625665
20,C2_Serere_GWAS_CET_2019_100_2_Root2_image2_1_2020-11-14-08-29-14,18620,815606,160316,912842.5,0.116145612,0.893479434,3541.816559,6306.25638,583,983,688,1213,5196,7629,26,46,855.4469604,1125.73938,597.8814087,925.8116455,9.52301693,150.7903137,0.715208516,0.568905098,2.282965059,0.196560594,0.759897873
21,C2_Serere_GWAS_CET_2019_100_2_Root2_image3_1_2020-11-14-08-29-23,10834,996481,125777,1284312.5,0.086136575,0.77588671,2829.180865,12421.2676,699,1236,675,1460,6148,10481,14,63,1780.786011,1321.980225,765.1966553,1075.730225,156.731781,29.13831902,0.902973606,0.581248077,1.087225948,0.126221172,1.347059493
22,C2_Serere_GWAS_CET_2019_100_2_Root3_image1_1_2020-11-14-08-29-42,16381,945870,124415,1244726,0.131664188,0.759902179,2827.656175,7427.088983,599,1521,514,1346,4849,12644,21,53,611.1394653,1735.368408,449.9182129,875.2921753,66.08720398,51.19934082,0.676768773,0.863479422,1.731844757,0.131534989,0.352166988
23,C2_Serere_GWAS_CET_2019_100_2_Root3_image2_1_2020-11-14-08-29-53,4480,443108,6234,467568,0.718639718,0.947686754,395.6639944,3194.650049,96,788,91,818,663,5646,17,49,96.3433075,798.6292725,78.78981018,725.5194702,95.2280426,47.09817123,0.575498792,0.417980726,1.011040198,0.014068805,0.120635833
24,C2_Serere_GWAS_CET_2019_100_2_Root3_image3_1_2020-11-14-08-30-09,NA,368814,NA,371456,NA,0.992887448,NA,2331.647961,NA,650,NA,722,NA,5389,NA,65,NA,745.7268066,NA,628.9633789,NA,26.49670982,NA,0.537249573,NA,NA,NA
25,C2_Serere_GWAS_CET_2019_100_3_Root1_image1_1_2020-11-14-08-30-39,53257,1219592,783458.5,1764606.5,0.067976798,0.691141056,9241.725894,11620.65786,1191,2171,1146,1257,8155,14988,22,36,1168.244385,1909.73645,804.2686157,1007.452698,127.1037598,117.6526413,0.725291305,0.849533337,4.366788237,0.642393932,0.611730684
