"","germplasmName","SN","CHVN","EAN","EEN","NECRO","NAF","NWF","CBSDs3","CBSDs6","CBSDs12","observationUnitName"
"1","Mkumba:1",-0.0333554337422603,-0.0388841558652435,47.8403452576656,0.0512569237358315,-0.85017450552019,-0.415011865508948,0.0099543726000527,-0.315472648437203,-0.379835322715095,-0.612913210061368,NA
"2","TMEB204:1",0.0476513363192594,-0.00829501647661692,33.0271264338734,-0.0162440731329163,0.759148714380503,0.366015920330517,0.00554051962942338,0.477677477413036,0.596866477082819,0.691573888650005,NA
"3","UG110017:1",-0.0143961875804734,0.0468905000588794,18.2048154015978,-0.0350046715661369,0.0792259200880481,0.0366767223245561,-0.0152224414040966,-0.162712582368271,-0.217705273865505,-0.0807389473976318,NA
"4","UG16F001P002",-0.0257831334889846,0.0289379178980106,-0.356808736534522,-0.01182265037162,0.527846286422567,0.478106123022055,0.146894327860961,0.293787671498353,0.477014107475059,0.267010104862996,"C2_GS_2018_2372"
"5","UG16F001P006",-0.0308615540366554,0.0229089347222026,-0.316084815965327,-0.0062740519243823,0.327751819089724,0.399726672052755,0.113299918478387,0.24473577322874,0.0938783181917178,0.500269736572998,"C2_GS_2018_2376"
"6","UG16F001P014",0.0525889572643393,-0.0137771683541281,-1.05468490800564,0.0181377499488486,-0.748406070495743,-0.698714801557246,-0.258880452484755,0.281915204603637,-0.303580138425473,-0.238997568648858,"C2_GS_2018_2384"
"7","UG16F002P001",-0.0156124464199872,0.0101309158138703,-0.179657583516245,-0.00586197028897274,0.162891427518897,0.166951782667886,0.0256621196552969,0.436944775055651,0.354184082728621,0.20429298187906,"C2_GS_2018_2391"
"8","UG16F002P002",0.0183195354623416,0.0165381846817083,0.478228489705117,-0.00673223554054474,-0.282513660344547,-0.265936510271022,-0.116670916547517,-0.29850603313554,-0.377417410191665,-0.38503730508523,"C2_GS_2018_2392"
"9","UG16F002P004",0.0717269895664216,-0.0306095822582371,-0.518268167022205,-0.0211686867579956,0.0677467151437852,-0.243065406006599,-0.25786572584682,0.0681237417727234,-0.0137860377976888,-0.167425801856976,"C2_GS_2018_2394"
"10","UG16F002P011",0.00753516107508156,-0.0153353975402952,0.386806158432693,0.0054756626867414,-0.181992187901785,-0.154188162869158,-0.0920787118000619,0.314831587347003,0.362543536408765,-0.142959180864405,"C2_GS_2018_2401"
"11","UG16F002P014",-0.0319228195084089,-0.00176413554752735,1.78085589737557,0.0135481674299961,-1.00563255889801,-0.1766457871868,-0.0481062711262056,-0.263932492081009,-0.372012969797226,-0.379426067390537,"C2_GS_2018_2404"
"12","UG16F003P002",0.0172557847975248,-0.0236666130217153,-0.90127599439577,-0.01430359015318,0.0771874484578773,-0.0272959051123678,0.0088701708327504,0.129480256020486,0.169132420885444,0.299979456893894,"C2_GS_2018_2412"
"13","UG16F003P007",0.023668519039554,-0.0169866049061163,-0.070542205440585,0.0129238661872667,-0.250331483009305,-0.302829771942105,-0.0917383096430185,-0.142148285476102,-0.271880633091338,-0.383693663056303,"C2_GS_2018_2417"
"14","UG16F003P013",-0.0268059665392031,-0.02109524379972,-0.511045745540345,0.0175839137256597,-0.660793225763534,-0.0369805445328307,0.07145390587443,0.216622512769614,0.141493040844081,0.472181054721255,"C2_GS_2018_2423"
"15","UG16F003P014",0.00274100557418701,2.73632775370764e-05,-0.676649511449715,-0.0175843935583951,0.531838285885504,0.258527532848638,0.0463088596907751,0.613486410919206,0.482072960922713,0.69027624298068,"C2_GS_2018_2424"
"16","UG16F004P004",0.0203889237254403,-0.00150127492539147,0.291536911458595,0.00630537225804059,0.497476515775283,0.0451343298377884,0.0281395068065083,0.305745520050543,0.300855457988654,0.240811089017993,"C2_GS_2018_2434"
"17","UG16F004P014",-0.0125617286015765,0.0171879068036445,-0.10168982457384,-0.0096131648208039,0.1645323933414,0.194519337127244,0.0588394817707984,0.0294063285648062,0.00958372839236945,0.614349162666947,"C2_GS_2018_2444"
"18","UG16F005P002",0.0263608596160375,-0.0118854252632617,-0.725473785081524,0.00028595397266087,-0.192537319411804,-0.262389317742197,-0.22280458458063,-0.155765014018203,-0.291841480148731,-0.0677137316488328,"C2_GS_2018_2452"
"19","UG16F005P014",0.00962876605176584,-0.00314676105285778,-0.435542915031292,0.00259845850746547,-0.0690236945303443,-0.129769397007602,-0.02653549108063,-0.196574093673158,-0.306397455263894,0.104474203901126,"C2_GS_2018_2464"
"20","UG16F006P001",-0.00917810877856507,-0.0128866980264239,-1.48799815944246,0.00230428917661808,0.184967390444025,0.145045143303251,0.0537188805509857,0.258985300308597,0.394289707228416,-0.108313465870321,"C2_GS_2018_2471"
"21","UG16F039P020",-0.0304396577277634,0.0106658351399234,0.439408327548812,0.00334626100529531,0.280552276914912,0.368478517783702,0.1659397092563,0.136159650980943,0.547692714631723,-0.0680733581327732,"C2_GS_2018_3020"
"22","UG16F040P006",0.0105236156531916,-0.0114784639246519,-0.543429341196688,0.0180456970976094,-0.806536070271856,-0.315046756201722,-0.0280459049226004,0.325355968397547,-0.00372190177511602,-0.245947831510412,"C2_GS_2018_3026"
"23","UG16F043P001",0.0236015775736439,0.0101320898746842,2.20088101122082,-0.0110266767166975,0.0841598459531906,-0.0577252932597348,-0.0623177600117008,0.644898861468121,0.443152722066716,0.185574314298399,"C2_GS_2018_3051"
"24","UG16F046P007",0.0184351682458441,0.00173807941056115,0.162631164768708,-0.0117953101956691,0.124234671609242,-0.058356714310942,-0.060901774465602,0.40324718720138,0.127872850019559,0.231146556806048,"C2_GS_2018_3087"
