"","Image.ID","area_necrosis","area_total_cross_section","convex_hull_area_necrosis","convex_hull_area_total_cross_section","solidity_necrosis","solidity_total_cross_section","perimeter_necrosis","perimeter_total_cross_section","width_necrosis","width_total_cross_section","height_necrosis","height_total_cross_section","longest_path_necrosis","longest_path_total_cross_section","convex_hull_vertices_necrosis","convex_hull_vertices_total_cross_section","ellipse_major_axis_necrosis","ellipse_major_axis_total_cross_section","ellipse_minor_axis_necrosis","ellipse_minor_axis_total_cross_section","ellipse_angle_necrosis","ellipse_angle_total_cross_section","ellipse_eccentricity_necrosis","ellipse_eccentricity_total_cross_section","percent_necrosis","necrotic_area_fraction","necrotic_width_fraction"
"358","2020_C2_CET_GWAS_Serere_215_8_Root2_image3_1_2021-11-15-09-14-07",NA,220748,NA,274488,NA,0.804217306403194,NA,2897.50879001617,NA,525,NA,683,NA,4807,NA,24,NA,674.130126953125,NA,549.002807617188,NA,157.310791015625,NA,0.58032217267054,NA,NA,NA
"359","2020_C2_CET_GWAS_Serere_215_8_Root3_image1_1_2021-11-15-09-14-16",NA,182734,NA,216731.5,NA,0.843135400253309,NA,2234.02142083645,NA,387,NA,683,NA,5077,NA,21,NA,723.953796386719,NA,396.992614746094,NA,176.372207641602,NA,0.836237564784144,NA,NA,NA
"360","2020_C2_CET_GWAS_Serere_215_8_Root3_image2_1_2021-11-15-09-14-25",NA,218964,NA,272672,NA,0.80303074756484,NA,2688.63873279095,NA,484,NA,722,NA,5283,NA,28,NA,781.389831542969,NA,475.405120849609,NA,161.531692504883,NA,0.793623139153476,NA,NA,NA
"361","2020_C2_CET_GWAS_Serere_215_8_Root3_image3_1_2021-11-15-09-14-33",NA,131566,NA,143312,NA,0.918038963938819,NA,2097.8549002409,NA,242,NA,717,NA,5178,NA,14,NA,814.547546386719,NA,238.162780761719,NA,4.95771980285645,NA,0.956300204469623,NA,NA,NA
"362","2020_C2_CET_GWAS_Serere_215_8_Root4_image1_1_2021-11-15-09-14-43",NA,243461,NA,286114.5,NA,0.850921571608569,NA,2666.63873279095,NA,526,NA,712,NA,5064,NA,27,NA,698.871154785156,NA,560.128173828125,NA,161.737014770508,NA,0.598027484662871,NA,NA,NA
"363","2020_C2_CET_GWAS_Serere_215_8_Root4_image2_1_2021-11-15-09-14-52",NA,212141,NA,256517,NA,0.827005617561409,NA,2667.44991493225,NA,498,NA,714,NA,4761,NA,26,NA,661.685974121094,NA,540.883666992188,NA,171.53125,NA,0.576024298044924,NA,NA,NA
"364","2020_C2_CET_GWAS_Serere_215_8_Root4_image3_1_2021-11-15-09-15-00",NA,218794,NA,265492,NA,0.824107694393805,NA,2843.55756044388,NA,529,NA,750,NA,5121,NA,26,NA,707.275939941406,NA,552.066650390625,NA,13.1723508834839,NA,0.625089086500878,NA,NA,NA
"365","2020_C2_CET_GWAS_Serere_216_10_Root1_image1_1_2021-11-15-09-17-58",NA,198479,NA,232782,NA,0.852638949746974,NA,2692.05294632912,NA,345,NA,732,NA,5438,NA,22,NA,832.700378417969,NA,358.532257080078,NA,2.95051789283752,NA,0.902559217451351,NA,NA,NA
"366","2020_C2_CET_GWAS_Serere_216_10_Root1_image2_1_2021-11-15-09-18-06",NA,187588,NA,224967,NA,0.8338467419666,NA,2904.34435737133,NA,405,NA,760,NA,5426,NA,26,NA,689.437133789062,NA,406.482391357422,NA,8.56642723083496,NA,0.807705703563433,NA,NA,NA
"367","2020_C2_CET_GWAS_Serere_216_10_Root1_image3_1_2021-11-15-09-18-15",4461,179240,7758.5,209015.5,0.574982277502095,0.857544057737345,470.433546423912,2788.5209826231,63,364,185,768,1199,5478,21,19,168.679901123047,793.013244628906,66.6353912353516,346.239196777344,176.530532836914,9.70595932006836,0.918663708430724,0.899649850513416,2.4888417763892,0.0432855389422004,0.212707545889705
